"id","predicted_price"
"9117000170","180708"
"6700390210","594883"
"7212660540","776547"
"8562780200","591572"
"7760400350","529342"
"464001025","365495"
"3432500486","442377"
"1126059095","339158"
"3876500290","312454"
"1865400075","317118"
"2558690150","473992"
"7154200070","706395"
"4139490210","362248"
"9264901040","610921"
"4273000095","763887"
"8691410310","708056"
"6601200020","231419"
"8663260030","308292"
"7016300050","150285"
"7968460240","629303"
"3918400017","761261"
"4046500270","419714"
"7849202296","497564"
"8585400135","610767"
"6163900411","379246"
"2558640110","798760"
"9834200885","603678"
"3876600120","187926"
"8691330260","283187"
"5416500980","392873"
"809002610","187134"
"1778500595","669245"
"1220000367","375358"
"7504020670","432266"
"3630110370","678486"
"2490200620","628427"
"1775801340","313358"
"1683600240","734167"
"1180002378","639211"
"7955050170","202164"
"7518507580","753991"
"1441600020","443956"
"5101408599","225459"
"1370803940","282603"
"3342700371","741380"
"3668000070","742141"
"8562720390","798043"
"9835801000","731740"
"8856890020","653470"
"9324800025","466874"
"9257900010","458487"
"9136103026","406453"
"4213910030","221054"
"2923500010","511997"
"461002025","405355"
"9277700075","543675"
"7853361120","262983"
"1788700070","457104"
"5411600020","435956"
"1561900180","675738"
"3300701440","288693"
"7853230590","227721"
"3601800580","781787"
"1438000390","327798"
"8700100010","289203"
"7231501610","715126"
"3396200090","588532"
"1245500099","194755"
"9831200520","214356"
"923000280","532093"
"739800250","584374"
"293760050","619895"
"1088020070","572690"
"7853340960","433125"
"3819800580","297113"
"3211200460","765726"
"263000291","798708"
"3345100251","378686"
"2655500241","546845"
"7454001280","658007"
"984200690","427109"
"5332200515","743712"
"7973202225","764523"
"4340610080","773152"
"269000221","348772"
"2420069251","689578"
"2225039130","754303"
"3904100065","611248"
"7625702263","641071"
"4140090240","275356"
"4037400295","500054"
"5016001285","597440"
"1972201772","674100"
"1310700210","639412"
"2622059138","445482"
"8651443420","748015"
"7287100035","703624"
"2459500310","359592"
"4232900310","538892"
"8945000260","484921"
"1545806510","774360"
"6649900301","210046"
"5315100805","633777"
"7708200880","691225"
"7925100271","257580"
"6163901061","258232"
"3404700041","192983"
"161000120","768167"
"7649400170","456903"
"1529300115","422919"
"6918720100","372281"
"5244800915","386917"
"1560800150","554466"
"5191100180","274941"
"2923039017","309155"
"6204200470","179094"
"3832150190","545195"
"4385700185","364281"
"9407150100","665639"
"2044500213","426861"
"1623049133","347090"
"3625059166","322286"
"4389200796","636756"
"7955050250","543214"
"9412400185","400801"
"1926069054","237079"
"2425700005","410676"
"7215730430","694607"
"2287000030","421315"
"3862710200","764554"
"476000118","246107"
"2726049034","781646"
"3221079055","748783"
"3127200041","326602"
"937000280","652378"
"4083802425","342002"
"7199340480","756864"
"1953400045","521266"
"7697000150","224710"
"7338200240","163194"
"6021503451","417892"
"3630200460","596082"
"687600110","292636"
"6788200596","619291"
"3205400140","456890"
"4037200075","434837"
"7695470120","237300"
"7202290180","595009"
"6159400060","163844"
"3830630060","357723"
"1774200230","162947"
"8856500120","349971"
"2329800240","174029"
"4307330120","434922"
"3629970680","737087"
"4309700190","523144"
"3062600050","196064"
"5538300460","151207"
"3278600900","590072"
"2414600195","776501"
"1786630160","698899"
"8594400370","525123"
"226059120","587950"
"5379804537","723326"
"4046500140","359249"
"822039111","403712"
"1786830060","156581"
"9290850060","409798"
"395300330","326214"
"2472930270","476577"
"5029000120","191001"
"1818800144","303691"
"1646500785","545309"
"1231000640","207438"
"789000550","429212"
"7625703007","718617"
"5583200810","489570"
"192300020","344615"
"3332000715","488134"
"5742600090","208937"
"623049047","173249"
"9557300570","678418"
"7853321180","793117"
"5416510490","702363"
"7227500450","679106"
"5637200450","556665"
"6371000100","155401"
"952005000","187425"
"1924059248","372328"
"7855000325","778039"
"194000145","544226"
"5135000160","675982"
"3023049215","195968"
"4104500181","339995"
"4188000240","639952"
"2896000710","274256"
"4039700090","612546"
"5253300397","228730"
"3874400380","498355"
"3352400004","610794"
"6112300140","202617"
"6430500010","367530"
"5113400168","335700"
"192450200","737231"
"1245000685","785867"
"4055700920","159204"
"5589300205","752646"
"1015000050","274791"
"6146600420","379343"
"2755200040","326185"
"3622059157","583842"
"9325200160","166092"
"2767900355","282540"
"303800020","479646"
"1796360990","646485"
"2721600010","182407"
"7625703354","304410"
"9268851680","637811"
"3740000010","678783"
"4058801575","656434"
"2639400020","469277"
"9492500090","210785"
"7436500060","776138"
"6666860170","276725"
"7841300505","325504"
"9169600209","323988"
"125059178","322894"
"6096500105","183789"
"2770604103","216793"
"1138000830","559781"
"8807300570","595582"
"7878400135","670738"
"3971700390","654286"
"5430300171","656862"
"5422560470","778382"
"3226059071","615911"
"1873100050","686478"
"3835500005","230895"
"1424130050","417892"
"4423100095","277231"
"1753500100","339416"
"1158700100","219839"
"1760650750","240057"
"5379806185","763355"
"8658301535","427958"
"4397000020","519226"
"2009000830","589280"
"9178600360","398478"
"1922069071","789834"
"7883600700","596859"
"982850010","631611"
"6204420070","473521"
"2525049259","569209"
"200510060","730270"
"2391602650","758497"
"5680001095","764736"
"1723049270","585496"
"476000331","243771"
"5379804470","696339"
"7203601405","425467"
"9485760050","307666"
"3278611600","799570"
"3904930240","195319"
"797000256","473738"
"7298040310","596511"
"865100055","166231"
